Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
134,8th August 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Vienna,23-Aug,3,3,1,2,no
135,8th August 2023,1,Trip Verified,A380 / A320,Business,Economy Class,San Francisco to Warsaw via London,23-Jul,3,5,1,1,no
136,5th August 2023,1,Trip Verified,Embraer,Business,Economy Class,Frankfurt to London City,23-Aug,3,3,1,1,no
137,4th August 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Lyon,23-Aug,Unknown,Unknown,1,1,no
138,1st August 2023,10,Trip Verified,Boeing 777,Solo Leisure,Business Class,London to Hong Kong,23-Jul,5,5,5,5,yes
139,31st July 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Montpelier,23-Jul,3,3,1,1,no
140,31st July 2023,9,Trip Verified,Boeing 787-8,Couple Leisure,Business Class,London to Mumbai,23-Jul,4,5,4,4,yes
141,31st July 2023,6,Trip Verified,A320,Couple Leisure,Business Class,Keflavik  to London,23-Jul,3,5,2,3,yes
142,29th July 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Gibraltar to London Heathrow,23-May,1,1,1,1,no
143,26th July 2023,1,Trip Verified,A321,Family Leisure,Business Class,Madrid to London,23-Jul,1,1,1,1,no
144,26th July 2023,2,Trip Verified,Unknown,Family Leisure,Economy Class,Rhodes to Gatwick,23-Jul,2,3,1,2,no
145,25th July 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Barcelona to London,23-Jul,1,4,1,1,no
146,24th July 2023,1,Not Verified,Unknown,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,22-Nov,Unknown,Unknown,Unknown,1,no
147,21st July 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London City Airport to Frankfurt,23-Jul,3,3,1,1,no
148,21st July 2023,4,Trip Verified,E190,Business,Economy Class,Amsterdam to London City ,23-Jul,3,4,1,2,no
149,20th July 2023,8,Not Verified,A320,Couple Leisure,Business Class,Dalaman to Gatwick ,23-Jun,3,5,5,3,no
150,20th July 2023,2,Trip Verified,Boeing 787,Solo Leisure,Economy Class,Seattle to London Heathrow,23-Jun,2,2,3,3,no
151,20th July 2023,2,Not Verified,A320,Couple Leisure,Economy Class,Gatwick to Dalaman ,23-Jun,1,1,1,1,no
152,18th July 2023,1,Trip Verified,Unknown,Family Leisure,Business Class,London to Rhodes,23-Jul,1,1,1,1,no
153,17th July 2023,9,Trip Verified,A320 A350,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,23-Jun,4,5,4,4,yes
154,17th July 2023,1,Not Verified,A380,Solo Leisure,Business Class,London to Miami,23-Jun,1,1,1,1,no
155,16th July 2023,2,Not Verified,A320Neo,Solo Leisure,Economy Class,Amman to London,23-Jul,3,1,4,3,no
156,9th July 2023,4,Trip Verified,Boeing 777,Couple Leisure,Premium Economy,Chennai to London ,23-Jul,3,2,4,1,no
157,9th July 2023,2,Trip Verified,A321neo,Couple Leisure,Economy Class,Istanbul to London,23-Jul,2,2,1,1,no
158,8th July 2023,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Edinburgh,22-Nov,2,5,1,2,no
159,6th July 2023,4,Not Verified,Boeing 777 -200,Family Leisure,Premium Economy,Kingston to London,23-Jun,5,4,3,3,no
160,5th July 2023,1,Trip Verified,Boeing 777-200,Couple Leisure,Economy Class,London Heathrow to Cape Town,23-Jun,1,3,3,2,no
161,5th July 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Ibiza,23-Jul,Unknown,Unknown,1,1,no
162,4th July 2023,3,Trip Verified,A380,Business,Business Class,Washington to London,23-Jun,3,3,1,1,no
163,3rd July 2023,3,Not Verified,A321,Couple Leisure,Economy Class,London Heathrow to Naples,23-Jun,1,4,2,2,no
164,2nd July 2023,10,Trip Verified,A320,Solo Leisure,Economy Class,Berlin to London,23-Jul,5,5,4,5,yes
165,30th June 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Glasgow to London,23-Jun,1,1,1,1,no
166,29th June 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Dubai to Keflavik via London,23-May,1,1,1,1,no
167,29th June 2023,2,Not Verified,A321Neo,Couple Leisure,Economy Class,Cairo to London,23-Jun,1,1,2,1,no
168,27th June 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Madrid,23-May,3,3,1,1,no
169,27th June 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Cairo,23-Jun,1,1,1,1,no
170,25th June 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,New Orleans to London,23-Jun,3,3,1,1,no
171,25th June 2023,1,Trip Verified,Unknown,Couple Leisure,Business Class,London to Amman,23-Mar,Unknown,Unknown,Unknown,1,no
172,25th June 2023,2,Trip Verified,A321 neo,Solo Leisure,Business Class,Heathrow to Bodrum,23-Jun,1,1,1,1,no
173,24th June 2023,4,Not Verified,Unknown,Solo Leisure,Economy Class,Amman to London,23-Jun,1,3,2,2,no
174,24th June 2023,7,Trip Verified,Embraer 190,Family Leisure,Business Class,London City to Ibiza,23-Jun,3,5,3,3,yes
175,23rd June 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Washington,23-Jun,1,1,1,1,no
176,22nd June 2023,1,Trip Verified,A350,Business,Business Class,Amsterdam to London,23-Jun,3,3,2,2,no
177,20th June 2023,7,Trip Verified,Boeing 737,Couple Leisure,Economy Class,London Heathrow to Kalamata,23-Jun,1,4,3,3,yes
178,20th June 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Funchal ,23-Jun,4,4,1,1,no
179,19th June 2023,1,Not Verified,Unknown,Family Leisure,Economy Class,Marseille to Seattle via London Heathrow,23-Jun,2,3,1,1,no
180,19th June 2023,2,Trip Verified,Unknown,Solo Leisure,Business Class,Cairo to London ,23-Jun,1,3,1,1,no
181,16th June 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,Bucharest to Dallas via London,23-Jun,2,4,1,1,no
182,13th June 2023,3,Trip Verified,Unknown,Family Leisure,Economy Class,Gatwick to Venice,23-Jun,3,5,1,3,no
183,12th June 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Dublin to London City,23-Jun,1,1,1,1,no
184,11th June 2023,1,Trip Verified,Unknown,Business,Business Class,Tokyo to Manchester via Heathrow,23-Jun,1,1,1,1,no
185,11th June 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,San Francisco to London,23-Jun,Unknown,Unknown,1,1,no
186,10th June 2023,3,Trip Verified,Boeing 787,Family Leisure,Economy Class,Santiago to London,23-May,1,2,4,1,no
187,8th June 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Seattle to Nice via London,23-Jun,4,4,1,2,no
188,7th June 2023,4,Trip Verified,Unknown,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow ,23-Mar,4,4,5,1,no
189,6th June 2023,1,Not Verified,Boeing 777,Business,Economy Class,Seattle to Edinburgh via Heathrow,23-May,2,4,2,2,no
190,6th June 2023,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,23-Apr,4,5,5,4,no
191,6th June 2023,9,Trip Verified,A350,Solo Leisure,Business Class,Vancouver to London Heathrow,23-May,5,5,4,4,yes
192,5th June 2023,3,Trip Verified,Unknown,Family Leisure,Economy Class,Vancouver to Barcelona via London,23-May,3,2,1,1,no
193,3rd June 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Boston to Cairo via London,23-Jun,1,1,1,1,no
194,3rd June 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Santorini,23-May,1,1,1,1,no
195,2nd June 2023,2,Trip Verified,Unknown,Family Leisure,Economy Class,Heathrow to Mumbai,23-Feb,3,1,1,1,no
196,1st June 2023,10,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Larnaca,23-Mar,5,5,5,5,yes
197,30th May 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Nice to London Heathrow,23-May,1,1,1,1,no
198,29th May 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,Las Vegas to Venice,23-May,1,1,1,1,no
199,29th May 2023,9,Trip Verified,Boeing 777-300,Family Leisure,Premium Economy,London to New York,23-May,4,4,4,4,yes
200,27th May 2023,2,Trip Verified,A320,Couple Leisure,Economy Class,Lisbon to London ,23-May,1,3,1,2,no
201,23rd May 2023,1,Not Verified,Unknown,Couple Leisure,Premium Economy,Dallas to Madrid via London,23-May,1,1,1,1,no
202,23rd May 2023,10,Not Verified,Unknown,Couple Leisure,Economy Class,London to Valencia,23-Mar,4,4,5,4,yes
203,23rd May 2023,10,Trip Verified,A320,Solo Leisure,Economy Class,London to Glasgow,23-May,5,5,5,5,yes
204,22nd May 2023,2,Trip Verified,A320 Finnair,Business,Business Class,London Heathrow to Malaga ,23-May,2,2,1,1,no
205,22nd May 2023,4,Not Verified,A319,Couple Leisure,Business Class,London to Nice,23-May,2,3,4,1,no
206,19th May 2023,2,Trip Verified,Unknown,Solo Leisure,Business Class,London to San Francisco,22-Sep,3,1,2,2,no
207,17th May 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Dallas,23-Apr,1,1,1,1,no
208,17th May 2023,1,Trip Verified,Unknown,Business,Economy Class,London to Madrid,23-May,4,3,1,1,no
209,17th May 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Belfast,23-May,1,3,1,1,no
210,14th May 2023,3,Not Verified,Unknown,Couple Leisure,Business Class,Los Angeles to London,23-May,5,5,1,1,no
211,14th May 2023,3,Trip Verified,Unknown,Couple Leisure,Business Class,Atlanta to London,23-Apr,4,3,1,1,no
212,13th May 2023,1,Trip Verified,Unknown,Couple Leisure,Business Class,Unknown,23-May,Unknown,Unknown,Unknown,1,no
213,8th May 2023,1,Trip Verified,Boeing 787-9,Solo Leisure,Business Class,Sydney to London via Singapore,23-May,1,1,1,1,no
214,6th May 2023,1,Trip Verified,Unknown,Solo Leisure,Business Class,Heathrow to Faro,23-May,1,1,1,1,no
215,6th May 2023,1,Trip Verified,Unknown,Business,Economy Class,London to Barcelona,23-May,Unknown,Unknown,1,1,no
216,1st May 2023,2,Trip Verified,Unknown,Business,Economy Class,New York to London,23-Apr,4,3,1,1,no
217,28th April 2023,5,Not Verified,Boeing 787,Couple Leisure,Business Class,Singapore to London,23-Apr,4,2,3,1,no
218,26th April 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,Sweden to Los Angeles via London,23-Jan,3,3,3,1,no
219,24th April 2023,2,Not Verified,Boeing 777,Couple Leisure,Premium Economy,Seattle to Zagreb via London,23-Apr,3,2,3,2,no
